GEOCODE,UHF_Neighborhood,MOD_ZCTA,label,zcta
306,Chelsea - Clinton,10001,"10001, 10118","10001, 10119, 10199"
309,Union Square - Lower East Side,10002,10002,10002
309,Union Square - Lower East Side,10003,10003,10003
302,Central Harlem - Morningside Heights,10026,10026,10026
310,Lower Manhattan,10004,10004,10004
310,Lower Manhattan,10005,10005,"10005, 10271"
310,Lower Manhattan,10006,10006,10006
310,Lower Manhattan,10007,10007,"10007, 10278, 10279"
309,Union Square - Lower East Side,10009,10009,10009
307,Gramercy Park - Murray Hill,10010,10010,10010
306,Chelsea - Clinton,10011,10011,10011
308,Greenwich Village - SoHo,10012,10012,10012
308,Greenwich Village - SoHo,10013,10013,10013
308,Greenwich Village - SoHo,10014,10014,10014
307,Gramercy Park - Murray Hill,10016,10016,10016
307,Gramercy Park - Murray Hill,10017,10017,"10017, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177"
306,Chelsea - Clinton,10018,10018,10018
302,Central Harlem - Morningside Heights,10030,10030,10030
306,Chelsea - Clinton,10019,"10019, 10020","10019, 10020, 10103, 10111, 10112"
305,Upper East Side,10021,10021,10021
307,Gramercy Park - Murray Hill,10022,10022,"10022, 10152, 10153, 10154"
304,Upper West Side,10023,10023,10023
304,Upper West Side,10024,10024,10024
304,Upper West Side,10025,10025,10025
302,Central Harlem - Morningside Heights,10027,10027,"10027, 10115"
305,Upper East Side,10028,10028,10028
303,East Harlem,10029,10029,10029
301,Washington Heights,10031,10031,10031
301,Washington Heights,10032,10032,10032
301,Washington Heights,10033,10033,10033
301,Washington Heights,10034,10034,10034
302,Central Harlem - Morningside Heights,10037,10037,10037
303,East Harlem,10035,10035,10035
306,Chelsea - Clinton,10036,10036,"10036, 10110"
310,Lower Manhattan,10038,10038,10038
301,Washington Heights,10040,10040,10040
401,Long Island City - Astoria,11104,11104,11104
401,Long Island City - Astoria,11105,11105,11105
301,Washington Heights,10039,10039,10039
305,Upper East Side,10128,10128,10128
305,Upper East Side,10044,10044,10044
305,Upper East Side,10065,10065,10065
304,Upper West Side,10069,10069,10069
305,Upper East Side,10075,"10075, 10162","10075, 10162"
310,Lower Manhattan,10280,10280,10280
310,Lower Manhattan,10282,10282,10282
502,Stapleton - St. George,10301,10301,10301
401,Long Island City - Astoria,11106,11106,11106
501,Port Richmond,10302,10302,10302
501,Port Richmond,10303,10303,10303
502,Stapleton - St. George,10304,10304,10304
106,High Bridge - Morrisania,10451,10451,10451
502,Stapleton - St. George,10305,10305,10305
504,South Beach - Tottenville,10306,10306,10306
504,South Beach - Tottenville,10307,10307,10307
504,South Beach - Tottenville,10308,10308,10308
504,South Beach - Tottenville,10309,10309,10309
501,Port Richmond,10310,10310,10310
504,South Beach - Tottenville,10312,10312,10312
503,Willowbrook,10314,10314,"10311, 10314"
106,High Bridge - Morrisania,10456,10456,10456
106,High Bridge - Morrisania,10452,10452,10452
105,Crotona -Tremont,10453,10453,10453
107,Hunts Point - Mott Haven,10454,10454,10454
107,Hunts Point - Mott Haven,10455,10455,10455
105,Crotona -Tremont,10457,10457,10457
103,Fordham - Bronx Pk,10458,10458,10458
107,Hunts Point - Mott Haven,10459,10459,10459
105,Crotona -Tremont,10460,10460,10460
104,Pelham - Throgs Neck,10461,10461,10461
409,Southeast Queens,11004,"11004, 11005","11004, 11005, 11040"
401,Long Island City - Astoria,11101,11101,11101
104,Pelham - Throgs Neck,10462,10462,10462
101,Kingsbridge - Riverdale,10463,10463,10463
104,Pelham - Throgs Neck,10464,10464,10464
104,Pelham - Throgs Neck,10465,10465,10465
102,Northeast Bronx,10466,10466,10466
103,Fordham - Bronx Pk,10467,10467,10467
103,Fordham - Bronx Pk,10468,10468,10468
102,Northeast Bronx,10469,10469,10469
103,Fordham - Bronx Pk,10470,10470,10470
401,Long Island City - Astoria,11102,11102,11102
401,Long Island City - Astoria,11109,11109,11109
101,Kingsbridge - Riverdale,10471,10471,10471
