geoid,name,B05006001,"B05006001, Error",B05006002,"B05006002, Error",B05006003,"B05006003, Error",B05006004,"B05006004, Error",B05006005,"B05006005, Error",B05006006,"B05006006, Error",B05006007,"B05006007, Error",B05006008,"B05006008, Error",B05006009,"B05006009, Error",B05006010,"B05006010, Error",B05006011,"B05006011, Error",B05006012,"B05006012, Error",B05006013,"B05006013, Error",B05006014,"B05006014, Error",B05006015,"B05006015, Error",B05006016,"B05006016, Error",B05006017,"B05006017, Error",B05006018,"B05006018, Error",B05006019,"B05006019, Error",B05006020,"B05006020, Error",B05006021,"B05006021, Error",B05006022,"B05006022, Error",B05006023,"B05006023, Error",B05006024,"B05006024, Error",B05006025,"B05006025, Error",B05006026,"B05006026, Error",B05006027,"B05006027, Error",B05006028,"B05006028, Error",B05006029,"B05006029, Error",B05006030,"B05006030, Error",B05006031,"B05006031, Error",B05006032,"B05006032, Error",B05006033,"B05006033, Error",B05006034,"B05006034, Error",B05006035,"B05006035, Error",B05006036,"B05006036, Error",B05006037,"B05006037, Error",B05006038,"B05006038, Error",B05006039,"B05006039, Error",B05006040,"B05006040, Error",B05006041,"B05006041, Error",B05006042,"B05006042, Error",B05006043,"B05006043, Error",B05006044,"B05006044, Error",B05006045,"B05006045, Error",B05006046,"B05006046, Error",B05006047,"B05006047, Error",B05006048,"B05006048, Error",B05006049,"B05006049, Error",B05006050,"B05006050, Error",B05006051,"B05006051, Error",B05006052,"B05006052, Error",B05006053,"B05006053, Error",B05006054,"B05006054, Error",B05006055,"B05006055, Error",B05006056,"B05006056, Error",B05006057,"B05006057, Error",B05006058,"B05006058, Error",B05006059,"B05006059, Error",B05006060,"B05006060, Error",B05006061,"B05006061, Error",B05006062,"B05006062, Error",B05006063,"B05006063, Error",B05006064,"B05006064, Error",B05006065,"B05006065, Error",B05006066,"B05006066, Error",B05006067,"B05006067, Error",B05006068,"B05006068, Error",B05006069,"B05006069, Error",B05006070,"B05006070, Error",B05006071,"B05006071, Error",B05006072,"B05006072, Error",B05006073,"B05006073, Error",B05006074,"B05006074, Error",B05006075,"B05006075, Error",B05006076,"B05006076, Error",B05006077,"B05006077, Error",B05006078,"B05006078, Error",B05006079,"B05006079, Error",B05006080,"B05006080, Error",B05006081,"B05006081, Error",B05006082,"B05006082, Error",B05006083,"B05006083, Error",B05006084,"B05006084, Error",B05006085,"B05006085, Error",B05006086,"B05006086, Error",B05006087,"B05006087, Error",B05006088,"B05006088, Error",B05006089,"B05006089, Error",B05006090,"B05006090, Error",B05006091,"B05006091, Error",B05006092,"B05006092, Error",B05006093,"B05006093, Error",B05006094,"B05006094, Error",B05006095,"B05006095, Error",B05006096,"B05006096, Error",B05006097,"B05006097, Error",B05006098,"B05006098, Error",B05006099,"B05006099, Error",B05006100,"B05006100, Error",B05006101,"B05006101, Error",B05006102,"B05006102, Error",B05006103,"B05006103, Error",B05006104,"B05006104, Error",B05006105,"B05006105, Error",B05006106,"B05006106, Error",B05006107,"B05006107, Error",B05006108,"B05006108, Error",B05006109,"B05006109, Error",B05006110,"B05006110, Error",B05006111,"B05006111, Error",B05006112,"B05006112, Error",B05006113,"B05006113, Error",B05006114,"B05006114, Error",B05006115,"B05006115, Error",B05006116,"B05006116, Error",B05006117,"B05006117, Error",B05006118,"B05006118, Error",B05006119,"B05006119, Error",B05006120,"B05006120, Error",B05006121,"B05006121, Error",B05006122,"B05006122, Error",B05006123,"B05006123, Error",B05006124,"B05006124, Error",B05006125,"B05006125, Error",B05006126,"B05006126, Error",B05006127,"B05006127, Error",B05006128,"B05006128, Error",B05006129,"B05006129, Error",B05006130,"B05006130, Error",B05006131,"B05006131, Error",B05006132,"B05006132, Error",B05006133,"B05006133, Error",B05006134,"B05006134, Error",B05006135,"B05006135, Error",B05006136,"B05006136, Error",B05006137,"B05006137, Error",B05006138,"B05006138, Error",B05006139,"B05006139, Error",B05006140,"B05006140, Error",B05006141,"B05006141, Error",B05006142,"B05006142, Error",B05006143,"B05006143, Error",B05006144,"B05006144, Error",B05006145,"B05006145, Error",B05006146,"B05006146, Error",B05006147,"B05006147, Error",B05006148,"B05006148, Error",B05006149,"B05006149, Error",B05006150,"B05006150, Error",B05006151,"B05006151, Error",B05006152,"B05006152, Error",B05006153,"B05006153, Error",B05006154,"B05006154, Error",B05006155,"B05006155, Error",B05006156,"B05006156, Error",B05006157,"B05006157, Error",B05006158,"B05006158, Error",B05006159,"B05006159, Error",B05006160,"B05006160, Error",B05006161,"B05006161, Error",B05006162,"B05006162, Error",B05006163,"B05006163, Error",B05006164,"B05006164, Error",B05006165,"B05006165, Error",B05006166,"B05006166, Error",B05006167,"B05006167, Error",B05006168,"B05006168, Error"
16000US3651000,"New York, NY",3100554,13529,442056,5748,49951,1995,12867,913,1146,267,850,208,2689,397,31565,1672,18983,1364,11089,876,1493,407,834,296,48881,2234,3248,365,3157,431,18759,1297,17658,1233,2967,483,2864,490,228,131,75144,2551,19062,1286,43856,1771,1850,340,0,28,9667,1087,709,259,266353,4955,17245,1728,12135,988,2102,392,3703,514,3571,449,4811,643,6122,622,2152,389,1951,368,2308,586,5337,599,45261,2110,12489,933,59450,2408,3942,636,60737,2227,23037,1293,1727,388,919679,6088,474196,3995,395819,4054,340018,4002,34829,1470,20972,1347,19516,1402,58687,2193,174,102,267172,4444,3820,874,87959,2714,78819,2966,7464,769,3396,441,9197,991,38049,2283,4936,694,28428,1953,5104,682,101681,2973,6354,737,2294,1035,3881,532,403,148,8662,866,56217,2337,2577,401,6473,736,14690,1196,130,107,74166,2828,2171,561,771,271,20811,1161,1709,389,960,249,4074,570,1409,308,5772,739,8858,932,13197,1599,14434,1135,2464,455,145933,4447,9388,1112,320,205,2833,623,1994,511,431,279,612,256,828,350,2370,475,2877,588,865,288,721,427,508,184,783,216,30441,1679,18998,1373,6613,788,1483,469,3347,673,3913,575,3712,552,201,153,87886,3832,85,93,26400,1949,3153,760,25128,2121,6374,1013,2046,387,24700,1891,11428,1309,11568,951,10986,924,9826,863,1160,224,86,72,50,53,446,187,1581318,9866,1556439,9941,861687,8822,867,228,21762,1273,14555,1029,7625,804,421235,7020,21024,1237,85149,3327,167467,3817,12014,853,77917,2409,9232,1255,22840,1454,287013,5796,5898,738,4061,612,28250,2344,27759,1957,31312,2237,166211,4900,8173,1242,14837,1257,512,206,407739,5709,13689,1999,2643,458,14702,1086,5297,743,69361,2447,121330,3942,133653,3145,28355,1773,2089,439,10314,1061,6306,765,24879,1476,24507,1491,372,135
86000US07002,"07002",20098,1140,2840,465,82,72,6,10,0,29,0,29,0,29,76,71,52,66,10,16,14,22,0,29,185,110,0,29,8,13,73,79,104,70,0,29,0,29,0,29,1026,241,225,151,505,154,9,14,0,29,246,128,41,36,1547,393,0,29,33,51,0,29,0,29,35,35,15,17,63,63,0,29,15,26,56,64,0,29,955,266,23,34,177,109,0,29,154,111,21,21,0,29,5302,658,553,283,396,240,362,239,23,37,11,12,76,71,81,69,0,29,2495,550,68,65,20,29,1264,392,177,136,20,30,0,29,868,305,32,50,32,35,14,21,1932,395,12,21,0,29,17,30,0,29,0,29,1796,388,0,29,0,29,107,103,0,29,285,157,0,29,0,29,33,38,0,29,0,29,44,70,45,56,68,109,49,44,0,29,46,33,37,57,4091,627,33,44,0,29,8,12,0,29,0,29,0,29,25,42,0,29,7,13,7,13,0,29,0,29,0,29,3882,644,3771,640,80,68,0,29,31,37,0,29,0,29,0,29,157,122,0,29,8,45,62,75,0,29,21,25,0,29,66,74,12,19,147,137,0,29,0,29,0,29,0,29,147,137,0,29,7718,930,7678,930,3206,764,0,29,11,16,185,127,0,29,2186,521,0,29,473,447,71,51,0,29,103,75,139,137,38,34,2327,537,80,117,59,46,433,230,317,175,503,197,742,356,99,96,94,80,0,29,2145,452,153,110,84,108,130,112,156,86,570,221,458,180,37,34,285,180,119,118,153,112,0,29,40,40,26,28,14,21
86000US07008,"07008",7525,854,769,270,34,38,0,23,0,23,0,23,0,23,34,38,34,38,0,23,0,23,0,23,45,34,0,23,0,23,0,23,45,34,0,23,0,23,0,23,439,200,0,23,46,43,359,193,0,23,34,52,0,23,251,115,7,13,0,23,0,23,0,23,0,23,0,23,34,42,0,23,0,23,6,11,0,23,93,79,20,31,50,40,0,23,34,33,7,12,0,23,3764,632,73,75,19,26,19,26,0,23,0,23,0,23,54,69,0,23,3151,697,0,23,6,10,2028,527,0,23,0,23,0,23,1117,511,0,23,0,23,0,23,461,277,0,23,21,31,0,23,0,23,0,23,440,271,0,23,0,23,0,23,0,23,56,110,0,23,0,23,0,23,0,23,0,23,56,110,0,23,0,23,0,23,0,23,0,23,23,40,453,235,11,16,0,23,0,23,0,23,0,23,0,23,11,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,365,219,0,23,110,112,83,101,56,55,0,23,0,23,116,121,77,99,0,23,0,23,0,23,0,23,0,23,0,23,0,23,2539,540,2528,539,998,385,0,23,0,23,256,235,0,23,552,250,0,23,78,118,6,12,0,23,29,46,0,23,77,103,501,216,0,23,0,23,67,71,71,59,46,52,125,137,56,87,136,108,0,23,1029,386,53,53,0,23,47,40,0,23,128,79,248,187,8,12,544,294,0,23,1,2,0,23,11,17,11,17,0,23
86000US07020,"07020",5696,531,851,260,46,45,1,3,0,19,0,19,0,19,45,45,45,45,0,19,0,19,0,19,59,42,0,19,0,19,24,27,35,32,0,19,0,19,0,19,48,34,12,20,36,28,0,19,0,19,0,19,0,19,698,243,11,18,97,96,0,19,0,19,0,19,14,23,25,28,0,19,7,13,0,19,51,65,83,83,53,53,209,116,24,42,70,68,54,60,0,19,3718,533,2571,467,639,277,405,222,32,34,202,127,300,189,1632,400,0,19,517,284,0,19,74,90,382,248,9,15,0,19,0,19,48,72,0,19,4,13,0,19,112,93,0,19,0,19,0,19,0,19,34,51,78,76,0,19,0,19,0,19,0,19,518,271,0,19,0,19,77,91,8,26,26,86,0,19,15,22,0,19,379,230,0,19,13,21,0,19,354,267,249,257,0,19,41,61,0,19,0,19,149,237,59,98,0,19,0,19,0,19,0,19,0,19,0,19,19,32,19,32,0,19,0,19,0,19,41,44,41,44,0,19,45,41,0,19,0,19,0,19,30,35,0,19,0,19,15,23,0,19,30,32,30,32,18,27,12,19,0,19,0,19,0,19,743,227,723,224,211,108,0,19,0,19,39,49,0,19,127,95,0,19,16,28,0,19,0,19,29,32,0,19,0,19,66,68,0,19,0,19,0,19,17,27,0,19,49,63,0,19,0,19,0,19,446,176,0,19,0,19,111,92,0,19,126,100,21,35,0,19,103,116,0,19,85,75,0,19,20,25,20,25,0,19
86000US07024,"07024",19134,652,3383,468,161,94,55,60,0,26,0,26,0,26,106,67,82,63,24,23,0,26,0,26,410,137,54,44,16,24,100,52,195,107,45,41,0,26,0,26,697,203,207,75,275,150,73,81,0,26,142,111,0,26,2008,391,91,80,102,86,0,26,63,71,68,62,15,24,15,25,4,7,0,26,9,13,76,66,267,155,166,98,675,192,0,26,392,140,65,44,107,119,13210,689,10507,759,2626,459,2013,373,304,131,309,109,701,197,7180,840,0,26,1235,356,10,15,68,107,676,243,98,103,31,38,7,13,223,180,13,29,109,167,0,26,650,191,30,35,0,26,41,54,0,26,66,58,442,183,8,18,22,35,41,33,0,26,818,222,57,55,42,38,122,70,35,55,42,55,35,50,5,11,93,58,265,160,17,27,105,82,0,26,170,71,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,88,44,54,42,34,29,0,26,0,26,24,23,13,16,11,16,58,49,0,26,25,32,0,26,19,28,0,26,0,26,14,21,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,2371,353,2315,350,1113,309,0,26,2,14,278,161,16,16,660,235,0,26,66,64,38,42,0,26,53,49,0,26,0,26,201,79,0,26,17,31,107,62,29,32,0,26,25,32,0,26,23,32,0,26,1001,204,208,147,44,61,126,91,0,26,344,119,110,58,34,38,93,64,0,26,42,64,0,26,56,38,56,38,0,26
86000US07036,"07036",14356,869,3805,451,61,48,8,11,0,26,0,26,0,26,53,46,27,35,26,31,0,26,0,26,94,68,9,14,34,52,14,14,37,35,0,26,0,26,0,26,1565,324,129,88,150,90,1089,263,60,64,197,114,0,26,2085,379,0,26,0,26,0,26,0,26,70,82,146,83,0,26,18,29,0,26,0,26,0,26,1691,311,0,26,12,20,0,26,85,62,63,61,0,26,1394,392,175,82,107,75,81,60,0,26,26,39,0,26,68,49,0,26,614,265,0,26,0,26,491,215,0,26,0,26,0,26,111,120,0,26,12,19,0,26,416,245,0,26,0,26,0,26,0,26,0,26,408,244,0,26,0,26,8,12,0,26,189,188,0,26,38,43,0,26,4,5,0,26,3,4,0,26,127,143,17,26,0,26,0,26,0,26,398,163,29,45,0,26,0,26,0,26,0,26,0,26,0,26,29,45,22,27,8,14,0,26,0,26,14,23,105,116,84,111,0,26,21,34,0,26,28,32,28,32,0,26,214,116,0,26,8,14,53,68,153,96,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,8759,802,8628,784,3547,604,0,26,80,119,416,161,23,38,686,226,0,26,1695,458,406,231,0,26,202,138,0,26,39,54,918,246,0,26,46,36,461,177,50,43,56,47,189,100,22,26,94,104,0,26,4163,514,145,142,7,11,364,140,23,26,2197,525,616,261,210,149,356,167,153,94,55,48,37,34,131,98,131,98,0,26
86000US07064,"07064",945,302,62,50,1,9,1,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,23,7,12,14,20,0,12,0,12,0,12,0,12,40,42,0,12,0,12,0,12,0,12,0,12,7,13,0,12,0,12,0,12,0,12,0,12,27,32,0,12,0,12,0,12,6,11,0,12,0,12,339,149,82,90,82,90,82,90,0,12,0,12,0,12,0,12,0,12,202,94,0,12,0,12,145,95,0,12,0,12,0,12,57,75,0,12,0,12,0,12,55,56,0,12,0,12,0,12,0,12,0,12,47,57,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,231,199,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,41,16,33,0,12,13,24,0,12,0,12,0,12,0,12,202,199,0,12,122,180,0,12,80,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,313,178,306,179,118,158,0,12,0,12,15,24,0,12,91,156,0,12,0,12,0,12,12,18,0,12,0,12,0,12,74,67,0,12,0,12,0,12,0,12,0,12,50,53,0,12,24,39,0,12,114,84,52,74,0,12,0,12,0,12,52,45,10,16,0,12,0,12,0,12,0,12,0,12,7,10,7,10,0,12
86000US07077,"07077",458,180,63,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,7,11,0,12,56,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,51,0,12,8,14,0,12,16,25,0,12,0,12,143,113,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,70,87,0,12,0,12,27,42,0,12,0,12,0,12,27,42,0,12,16,25,0,12,21,32,0,12,0,12,0,12,0,12,0,12,21,32,0,12,0,12,0,12,0,12,52,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,64,0,12,16,26,1,9,0,12,0,12,0,12,0,12,0,12,0,12,1,9,0,12,0,12,0,12,0,12,0,12,14,22,14,22,0,12,0,12,0,12,0,12,0,12,0,12,1,9,0,12,1,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,236,144,236,144,77,62,7,12,0,12,34,31,0,12,36,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,47,52,0,12,0,12,26,40,0,12,0,12,21,32,0,12,0,12,0,12,112,93,0,12,0,12,0,12,0,12,62,76,0,12,0,12,50,58,0,12,0,12,0,12,0,12,0,12,0,12
86000US07202,"07202",20187,1354,1181,251,57,49,24,35,0,26,0,26,0,26,33,33,0,26,33,33,0,26,0,26,33,29,0,26,0,26,24,25,9,14,0,26,0,26,0,26,813,222,30,27,214,98,538,199,68,88,31,37,0,26,278,114,0,26,0,26,0,26,0,26,0,26,21,29,0,26,0,26,23,36,0,26,0,26,173,93,0,26,29,39,0,26,29,32,3,6,0,26,516,242,48,44,41,43,20,27,21,32,0,26,0,26,7,11,0,26,148,120,0,26,10,14,127,116,11,19,0,26,0,26,0,26,0,26,0,26,0,26,216,179,0,26,0,26,0,26,0,26,0,26,216,179,0,26,0,26,0,26,0,26,12,20,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,12,20,0,26,0,26,92,147,400,198,36,66,0,26,36,66,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,137,135,33,33,74,111,0,26,30,49,0,26,0,26,0,26,189,119,0,26,101,115,7,12,81,100,0,26,0,26,0,26,38,62,0,26,0,26,0,26,0,26,0,26,0,26,0,26,18090,1348,18052,1350,5101,952,0,26,0,26,1769,396,16,24,1978,618,0,26,1323,547,0,26,0,26,0,26,0,26,15,19,4289,799,0,26,148,119,1476,420,129,94,454,233,1660,641,334,194,70,77,18,28,8662,1092,145,82,0,26,395,203,74,76,3245,678,1956,460,270,209,1423,451,820,314,334,282,0,26,38,47,38,47,0,26
86000US07206,"07206",11811,980,599,190,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,10,17,0,23,0,23,0,23,10,17,0,23,0,23,0,23,465,164,0,23,9,15,456,163,0,23,0,23,0,23,124,85,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,100,82,0,23,24,28,0,23,0,23,0,23,0,23,88,71,54,46,35,39,35,39,0,23,0,23,0,23,19,23,0,23,34,50,0,23,0,23,34,50,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,429,186,109,117,0,23,0,23,26,42,0,23,0,23,0,23,83,109,44,57,0,23,0,23,0,23,44,57,60,57,60,57,0,23,0,23,0,23,0,23,0,23,0,23,97,85,0,23,0,23,0,23,95,85,2,4,0,23,0,23,119,88,0,23,0,23,0,23,0,23,0,23,0,23,0,23,10695,957,10695,957,2832,510,0,23,0,23,918,262,0,23,1522,382,0,23,82,122,143,107,0,23,102,98,65,106,0,23,5081,593,0,23,36,36,3044,506,554,244,720,329,661,221,44,70,22,36,0,23,2782,529,70,70,11,14,164,94,32,38,722,280,934,353,0,23,648,211,68,50,133,132,0,23,0,23,0,23,0,23
