OID_,NRI_ID,STATE,STATEABBRV,STATEFIPS,COUNTY,COUNTYTYPE,cji-federally-recognized-tribes,cji-federally-recognized-reservations,cji-non-federally-recognized-tribes,COUNTYFIPS,STCOFIPS,cji_FIPS,cji_Hurricane30yrs,cji_hurricane30pct,cji_Floods30yrs,cji_floods30Pct,cji_Fires30yrs,cji_fires30yrsPct,cji_DisastersTotal30yrs,cji_30yrRank,cji_Hurricane10yrs,cji_hurricane10pct,cji_Floods10yrs,cji_floods10Pct,cji_Fires10yrs,cji_fires10yrsPct,cji_DisastersTotal10yrs,cji_10yrRank,cji_Hurricane5yrs,cji_hurricane5yrPct,cji_Floods5yrs,cji_floods5yrPct,cji_Fires5yrs,cji_first5yrPct,cji_DisastersTotal5yrs,cji_5yrRank,CFLD_AFREQ,HRCN_AFREQ,RFLD_AFREQ,WFIR_AFREQ,cji_CFLD_AFREQpct,cji_HRCN_AFREQpct,cji_RFLD_AFREQpct,cji_WFIR_AFREQpct,cji_perCapitaCFLD,cji_perCapitaHRCN,cji_perCapitaRFLD,cji_perCapitaWFIR,cji_perCapitaCLFDrank,cji_perCapitaHRCNrank,cji_perCapitaRFLDrank,cji_perCapitaWFIRrank,cji_MedianIncome,cji_medianIncomePercentile,cji_femalePct,cji_Buyouts,EP_MINRTY,EP_POV,EP_MOBILE,EP_SNGPNT,EP_AGE65,EP_AGE17,EP_LIMENG,EP_NOVEH,EP_UNEMP,cji_noncitizenPct,cji_rentersPct,cji_evictionRate,cji_HMA_ProjectAmount,POPULATION,cji_PopACS2019,BUILDVALUE,cji_perCapitaBuildingValue,AGRIVALUE,AREA,cji_PopDensity,RISK_SCORE,RISK_RATNG,RISK_NPCTL,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_NPCTL,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,SOVI_SCORE,SOVI_RATNG,SOVI_NPCTL,SOVI_SPCTL,SOVI_VALUE,RESL_SCORE,RESL_RATNG,RESL_NPCTL,RESL_SPCTL,RESL_VALUE
92.00,C22057,Louisiana,LA,22.00,Lafourche,Parish,,,,57.00,"22,057.00",22057,16.00,1.00,4.00,0.89,0.00,0.00,20.00,1.00,7.00,1.00,3.00,0.95,0.00,0.00,10.00,1.00,6.00,1.00,2.00,0.93,0.00,0.00,8.00,1.00,4.04,0.26,0.83,0.00,0.68,0.98,0.39,0.34,101.12,97.22,15.31,3.72,0.98,0.97,0.04,0.23,"55,506.00",0.64,0.51,10.00,23.20,15.70,16.50,10.40,14.60,23.50,1.50,6.60,6.90,0.02,0.00,0.00,"36,554,102.65","96,318.00","98,108.00","8,747,345,000.00","90,817.34","38,969,000.00","1,068.33",90.16,14.31,Relatively Moderate,81.67,71.88,23.90,Relatively Moderate,92.55,82.81,"23,192,439.33","10,085,744.91",1.63,"12,425,139.18","681,555.24",30.94,Relatively Low,22.57,25.00,-1.88,59.72,Very High,97.17,87.50,2.99
101.00,C22075,Louisiana,LA,22.00,Plaquemines,Parish,,,,75.00,"22,075.00",22075,16.00,1.00,0.00,0.00,0.00,0.00,16.00,1.00,7.00,1.00,0.00,0.00,0.00,0.00,7.00,0.99,6.00,1.00,0.00,0.00,0.00,0.00,6.00,0.99,4.01,0.26,0.33,0.00,0.67,0.98,0.11,0.38,28.41,578.64,89.66,16.59,0.97,1.00,0.20,0.52,"57,204.00",0.68,0.50,0.00,35.50,19.50,28.30,15.30,12.30,26.20,2.00,5.60,3.60,0.02,0.00,0.00,"90,159,842.73","23,042.00","23,338.00","2,370,738,000.00","102,887.68","10,789,000.00",780.33,29.53,8.44,Relatively Low,42.65,25.00,20.55,Relatively Moderate,88.00,68.75,"15,274,679.63","13,207,345.20",0.26,"1,964,488.22","102,846.21",21.32,Very Low,5.67,7.81,-4.32,60.01,Very High,98.06,92.19,3.00
108.00,C22089,Louisiana,LA,22.00,St. Charles,Parish,,,,89.00,"22,089.00",22089,16.00,1.00,2.00,0.64,0.00,0.00,18.00,1.00,7.00,1.00,2.00,0.82,0.00,0.00,9.00,1.00,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,3.97,0.23,1.29,0.00,0.66,0.97,0.59,0.54,120.66,134.80,228.39,12.56,0.98,0.98,0.46,0.48,"69,019.00",0.89,0.50,5.00,34.70,11.60,10.40,12.40,12.50,24.90,0.80,4.40,5.70,0.01,0.00,0.00,"60,375,858.80","52,780.00","52,773.00","5,579,051,000.00","105,703.88","1,443,000.00",279.16,189.06,11.26,Relatively Low,66.96,48.44,23.44,Relatively Moderate,92.04,81.25,"21,978,481.65","6,686,556.79",2.00,"15,212,923.05","79,001.81",26.88,Relatively Low,12.86,15.63,-2.91,64.67,Very High,100.00,100.00,3.23
67.00,C22007,Louisiana,LA,22.00,Assumption,Parish,,,,7.00,"22,007.00",22007,15.00,1.00,4.00,0.89,0.00,0.00,19.00,1.00,7.00,1.00,4.00,0.99,0.00,0.00,11.00,1.00,6.00,1.00,3.00,0.99,0.00,0.00,9.00,1.00,3.95,0.21,0.29,0.00,0.65,0.94,0.09,0.14,119.85,99.96,83.64,1.17,0.98,0.97,0.19,0.09,"43,759.00",0.24,0.52,1.00,34.40,17.40,30.90,10.70,16.60,22.20,0.90,7.00,7.30,0.01,0.00,0.00,"5,831,964.00","23,421.00","22,478.00","2,015,149,000.00","86,040.26","45,609,000.00",338.66,69.16,10.80,Relatively Low,63.59,43.75,15.89,Relatively Low,76.23,59.38,"7,591,698.21","1,833,245.95",0.53,"4,002,055.77","1,756,396.49",33.86,Relatively Low,31.86,37.50,-1.14,57.55,Relatively High,83.55,64.06,2.88
114.00,C22101,Louisiana,LA,22.00,St. Mary,Parish,Chitimacha Tribe of Louisiana,Chitimacha Reservation,,101.00,"22,101.00",22101,15.00,1.00,2.00,0.64,0.00,0.00,17.00,1.00,7.00,1.00,2.00,0.82,0.00,0.00,9.00,1.00,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,3.98,0.19,1.13,0.00,0.67,0.92,0.53,0.07,49.16,92.93,361.47,0.69,0.97,0.97,0.61,0.05,"40,485.00",0.15,0.51,2.00,43.90,19.00,19.20,9.30,15.70,24.30,2.20,7.90,9.00,0.03,0.00,0.00,"11,569,453.75","54,650.00","50,968.00","5,159,935,000.00","94,417.84","45,130,000.00",555.54,98.37,16.66,Relatively Moderate,88.61,82.81,21.24,Relatively Moderate,89.18,73.44,"16,716,377.33","6,283,668.61",1.21,"9,228,693.07","1,204,015.64",39.30,Relatively Moderate,54.36,60.94,0.24,57.88,Very High,86.66,70.31,2.89
86.00,C22045,Louisiana,LA,22.00,Iberia,Parish,,,,45.00,"22,045.00",22045,14.00,0.99,2.00,0.64,0.00,0.00,16.00,1.00,7.00,1.00,2.00,0.82,0.00,0.00,9.00,1.00,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,3.96,0.18,1.42,0.00,0.66,0.91,0.63,0.02,15.64,71.57,900.94,1.30,0.95,0.96,0.87,0.10,"46,861.00",0.33,0.51,5.00,41.00,21.60,20.70,14.00,14.00,26.30,1.80,10.10,10.20,0.02,0.00,0.00,"15,860,666.01","73,240.00","71,887.00","6,785,524,000.00","92,647.79","57,870,000.00",574.11,127.57,16.93,Relatively Moderate,89.12,84.38,22.69,Relatively Moderate,91.25,78.13,"20,076,936.20","11,210,691.65",1.03,"7,840,797.97","1,025,446.57",37.17,Relatively Moderate,45.23,51.56,-0.30,57.56,Relatively High,83.64,65.63,2.88
120.00,C22113,Louisiana,LA,22.00,Vermilion,Parish,,,,113.00,"22,113.00",22113,14.00,0.99,2.00,0.64,0.00,0.00,16.00,1.00,7.00,1.00,1.00,0.55,0.00,0.00,8.00,0.99,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,3.93,0.15,1.13,0.00,0.64,0.89,0.53,0.53,27.67,95.01,528.08,10.60,0.96,0.97,0.73,0.44,"51,945.00",0.50,0.52,13.00,21.70,17.60,20.90,8.70,14.70,25.90,1.80,6.70,8.00,0.02,0.00,0.00,"46,517,406.52","57,999.00","59,865.00","5,226,262,000.00","90,109.52","117,260,000.00","1,173.21",49.44,15.08,Relatively Moderate,84.34,73.44,22.13,Relatively Moderate,90.42,76.56,"18,726,205.71","8,932,192.49",0.90,"6,811,281.92","2,982,731.30",33.74,Relatively Low,31.35,32.81,-1.17,57.22,Relatively High,79.82,60.94,2.86
91.00,C22055,Louisiana,LA,22.00,Lafayette,Parish,,,,55.00,"22,055.00",22055,13.00,0.99,3.00,0.79,0.00,0.00,16.00,1.00,7.00,1.00,2.00,0.82,0.00,0.00,9.00,1.00,6.00,1.00,2.00,0.93,0.00,0.00,8.00,1.00,3.87,0.15,1.83,0.00,0.58,0.88,0.74,0.28,1.49,25.64,"1,267.71",4.60,0.91,0.91,0.93,0.27,"56,999.00",0.68,0.51,18.00,34.10,16.50,10.60,10.40,12.30,23.80,1.80,6.90,4.80,0.03,0.00,0.00,"32,460,928.00","221,578.00","241,973.00","23,926,875,000.00","107,983.98","21,410,000.00",268.74,824.50,20.75,Relatively Moderate,94.08,92.19,34.19,Relatively High,97.52,93.75,"63,543,990.91","53,353,315.98",1.25,"9,488,724.14","701,950.80",29.21,Relatively Low,18.30,20.31,-2.32,55.61,Relatively High,62.83,53.13,2.78
75.00,C22023,Louisiana,LA,22.00,Cameron,Parish,,,,23.00,"22,023.00",22023,14.00,0.99,1.00,0.38,0.00,0.00,15.00,0.99,7.00,1.00,1.00,0.55,0.00,0.00,8.00,0.99,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,3.92,0.14,0.38,0.01,0.63,0.88,0.14,0.98,198.90,426.29,150.03,544.06,0.98,1.00,0.33,0.99,"53,423.00",0.57,0.52,0.00,11.30,10.30,38.10,6.50,15.70,21.90,2.70,1.00,4.20,0.03,0.00,0.00,"17,792,697.00","6,839.00","6,930.00","895,188,000.00","130,894.58","11,956,000.00","1,284.88",5.32,4.75,Very Low,8.85,3.13,15.88,Relatively Low,76.16,57.81,"7,578,039.49","5,370,892.84",0.27,"2,048,166.14","158,980.51",15.41,Very Low,1.94,3.13,-5.82,59.52,Very High,96.37,84.38,2.98
65.00,C22003,Louisiana,LA,22.00,Allen,Parish,Coushatta Tribe of Louisiana,Coushatta Reservation,,3.00,"22,003.00",22003,13.00,0.99,1.00,0.38,0.00,0.00,14.00,0.99,7.00,1.00,1.00,0.55,0.00,0.00,8.00,0.99,6.00,1.00,1.00,0.66,0.00,0.00,7.00,0.99,0.05,0.08,0.67,0.00,0.26,0.79,0.30,0.74,2.51,11.19,217.77,27.04,0.91,0.80,0.44,0.61,"46,446.00",0.31,0.43,0.00,29.00,18.70,20.50,9.10,14.10,22.50,1.80,7.60,9.60,0.04,0.00,0.00,"1,652,648.00","25,764.00","25,618.00","2,024,039,000.00","78,560.74","19,763,000.00",761.81,33.82,7.92,Very Low,37.27,20.31,11.75,Relatively Low,50.99,35.94,"3,422,066.23","583,000.84",0.30,"2,281,352.94","557,712.46",30.86,Relatively Low,22.34,23.44,-1.90,52.93,Relatively Low,28.61,21.88,2.65
